City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Mikhaylovka,RU,44.78,overcast clouds,50.06,43.2379,5 Komnat
354,Nueva Concepcion,GT,83.28,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
355,Camana,PE,69.62,scattered clouds,-16.6228,-72.7111,Hostal Morales
356,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Villa Mar Colina
357,Pedernales,DO,78.71,overcast clouds,18.0384,-71.744,Hotel Costa Marina
360,Kavaratti,IN,82.47,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
361,Andenes,NO,26.92,clear sky,69.3143,16.1194,Hotell Marena
362,Vao,NC,79.52,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
363,Jinzhou,CN,54.73,clear sky,41.1078,121.1417,Sheraton Jinzhou Hotel
364,Khuzdar,PK,65.14,few clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
